image,black,blue,brown,green,red,white,dress,shirt,pants,shorts,shoes,color
./clothes_dataset\green_shoes\f1f33bed259f4b38cdf1fd56b4b83fc20fecb4cc.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\brown_pants\8a797ffb710eefe377f189ee95f02a9ca28187fb.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\white_dress\ef86bf5eee72dbe88f2d95f555fea7946ad098ca.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\black_shoes\ff7f558959757ab7e0ce610e278c9a7cd88d598c.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_pants\b354ab5371b90d5eb63a4d3023c7fc6e0109de5e.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\brown_shoes\e54a0aa7896076f6ef4ff1de7db076c72c43c522.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_pants\b0e91102c482c2d4ae4a06b79f1ef8c1444562c8.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_dress\d15a27c7dcfb7d8fbb79175cc0c8b79b816c396f.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\blue_pants\35cc468c19a9c4274bd19e8547fc51e6d6161c3e.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\green_pants\1b70c89a6c05382d6e6277db8acd405e7f0d7c4f.jpg,0,0,0,1,0,0,0,0,1,0,0,3
./clothes_dataset\blue_dress\ccb002c6e7150648002c33cac866b652b465c7d0.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\white_dress\8bcad1b70eee56d0e788ef9a4b29175044b8efc2.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\brown_shoes\75e82a13417edad24d3b6c63377a6a6f75e2b487.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\black_shorts\7d09a4a7105f2f0b868d3523dea5aef2dcb05920.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\red_shoes\86ff313985662f49467e7a89a1e42746c07d6091.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\red_dress\4024aa15b010935ec06964e8a77f7169d1c0dabe.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\red_dress\859354fa5f548c653d4a26ceec254633f4b2c722.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\white_pants\857947f044a56e239331aa278bad9f9a1d166c9f.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\blue_shoes\c429ac41c0c5ca834da16d09fae22121ecd87e8f.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\black_pants\88a9a4cae892c7a0f71329fc23dc067fd0ec2ced.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\blue_pants\513badf625eae6d79a701e14a3e046a5647fde5d.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\white_dress\b309d5b34b6f717773fd8c00a78e848a0ae78003.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\white_pants\2b9207cbd771f56c024115da9c987fdf42926b5d.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\black_pants\c29b4c8dd83d356d3c1517661f5dcf1947fd2065.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\white_pants\29119768e9694d862be0cdd5655c7bf9fc7ae8a6.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\brown_pants\d9acbd165f909a70acfca4a6ff5fcda0033d8a84.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\white_dress\d0b8c7513d439e3717b93cc826f40837cd741328.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\white_dress\159c26b2406512156751577e44346ab29f75cd81.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_dress\16fa624fd98aaecfef6863d99729535566638c5e.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\white_shorts\be96dd228dc8c22ec39be79f334d9bb01363686f.jpg,0,0,0,0,0,1,0,0,0,1,0,5
./clothes_dataset\white_dress\c87f3905a17378321824379ce0a203c7d8aadaa6.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\black_shoes\eab6eb0400ce4e919dc22cdadcbc9daf6818bbe5.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\red_dress\8820b94444c4837b0556a5df1c1b3819c5026c39.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_pants\47f366944dfa50858e43ba635ae122bd19f4ada8.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\white_pants\b36d5134d3883bf5d9899f252688181245ef0388.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\blue_shorts\c848d64e0349dac8f3f2be063afc4231fe33b401.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\black_shorts\f502ce985b1bf5ecfd08344ca2cbfde6589e475e.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\black_pants\85009d9b5b330483e77f2a86d96cb6dc1f1972c0.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_shirt\8fd3c158e0850079d4ceb199d463d5bf319af5fc.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\blue_shirt\635eb929160785e1e6a2a76b6fb4d43f3eecea26.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\blue_dress\f63a47376c5d86aa4c66047bffb0faf4160ca39c.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\red_dress\dfacf7cb3b1d212f10ea6697d948da5cb9278b31.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shoes\0e9650e2adb68b591bf03ce9bfd246f4e320e735.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_shorts\8553c96823a953315b1d7e9d2ff430077953f4cd.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\black_pants\415e85e2b99dd6f644844a1e1496595ee4b4bfd3.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\white_dress\2c15304a809fcb42ec8fc11664b91baf9a9e21d1.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\red_pants\6d920c6f9d8747de3b9172379c815767ed7a36c8.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\blue_shorts\8ac1debbbf5c4072158fdf8f5df7faf169cb6288.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\black_pants\0f8eb4509cea01f9656e8b31e3af0d29852cd90e.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\blue_shirt\4b5a3a9e567a64cc945a757f786f974f1a58a4a0.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\red_dress\b8964f1706e0057735811ae76567a8193600800c.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\green_shoes\039f92c562f8b18b13daca14936217d286341171.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\green_shoes\2e71422aa30b05a9a8d51d531611a65fef88f862.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\black_shoes\05a24d0a20d871d8a040c4a53d719c54151fc42f.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\red_dress\f5fea225c4155957fcc33d1212d17fe42a3aed72.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\green_shoes\22b2c7125e8215f6e6f60b4f281dd37082c3da62.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\black_pants\d16dc535d2660e7c76adc5a23892bf5e26adffa6.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_shirt\d61a72d383f156aaed0f7eb2126ce4be96bf873c.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\black_dress\bfca000bbf2945c51f25b4ee44fc02eef609ac17.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\blue_pants\9091344a435d3698b569373229a2fdb73af08c48.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_shoes\a84c4d4298779ea64d704dce735505a7105c8d0f.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\green_shoes\ebc498125463e61c57964f136d0fc20aa5d38784.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\white_shorts\0787127c9222afa9db0edfab1ca2a57d984992f8.jpg,0,0,0,0,0,1,0,0,0,1,0,5
./clothes_dataset\black_dress\3422d6d78e0a90e58bf9d1afa10cd601871cf9ea.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\black_pants\cd406adb1a46ed98a11808bc0370117b42080a94.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\blue_dress\e4861ce4bb8d0df07f00525b8410fbc0b68af336.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\brown_shoes\416e19a033bd07650774fa4878c156de09f1829d.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_shoes\4e00a1b3d7170ffb9f3659924a3ee52c24218c30.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\black_shoes\3e2ee472a82c1ab388c55aa064259da27dc6a5db.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\white_shoes\8f8c3d3877b716e3726d74aa49d8eb5f6abf244a.jpg,0,0,0,0,0,1,0,0,0,0,1,5
