,image,black,blue,brown,green,red,white,dress,shirt,pants,shorts,shoes
0,./clothes_dataset\blue_shorts\256d854b55ac32ea4d0d6398dffccc4d8909a388.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,./clothes_dataset\red_pants\584f778aece14f07c2f386037c495cd7c2414c6d.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,./clothes_dataset\green_pants\ec543ca241cefb2b3a52fb6b0b27ed3164d22a47.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,./clothes_dataset\brown_shorts\c8db9e0f7010592fa56f429a07142a360f95c9cd.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,./clothes_dataset\white_dress\551373c80717c5b0560ab25139262203bc6043f6.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,./clothes_dataset\blue_dress\19dec6751c0f3ad362512021bc298558c0cca3c2.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,./clothes_dataset\black_shirt\671551801639c107b16d9666c869be65bc38930a.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,./clothes_dataset\black_shirt\2bbe260d7197a4f288e8399c8a11c80a5f70d163.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,./clothes_dataset\brown_shoes\7346181875f4d5378e54e40e0410d8274de55771.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,./clothes_dataset\red_pants\9fe8fb2615caf16658685a08184e652274f648bf.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,./clothes_dataset\blue_dress\3349763c93fe046cb547cfd806ece12bb3e03b9e.jpg,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
